freq,hash,group_concat(docid)
185,0x37C3589BDD2DCB265078A8C4BC4A3818C6071C5B,"49016,49023,49044,49046,49051,49057,49067,49075,49088,49095,49097,49099,49101,49107,49114,49124,49141,49156,49162,49163,49178,49180,49183,49185,49203,49210,49223,49224,49231,49241,49243,49247,49250,49251,49255,49267,49270,49275,49281,49282,49289,49293,49296,49298,49299,49300,49304,49305,49309,49319,49324,49331,49334,49335,49338,49341,49346,49367,49379,49381,49382,49383,49388,49389,49391,49397,49398,49402,49404,49409,49413,49414,49415,49421,49427,49439,49441,49446,49450,49451,49459,49467,49471,49478,49479,49481,49484,49487,49488,49494,49499,49503,49523,49532,49543,49544,49550,49552,49580,49587,49594,49597,49605,49606,49609,49617,49618,49632,49636,49637,49643,49648,49649,49656,49658,49660,49670,49671,49673,49681,49686,49700,49713,49714,49722,49733,49737,49740,49754,49757,49763,49774,49781,49783,49784,49792,49800,49803,49808,49813,49817,49821,49829,49831,49834,49838,49845,49847,49859,49864,49869,49870,49872,49875,49877,49886,49898,49899,49909,49911,49912,49919,49922,49933,49936,49940,49968,49997,49998,50009,50015,50017,50023,50025,50030,50040,50045,50051,50059,50061,50067,50069,50076,50085,50091"
167,0x176EE583E756B4565F9EE6B31B8E504028923898,"49015,49019,49023,49046,49051,49053,49060,49071,49073,49075,49077,49093,49095,49097,49108,49111,49116,49123,49124,49125,49130,49131,49133,49136,49141,49156,49171,49174,49178,49185,49186,49189,49194,49203,49204,49209,49222,49224,49231,49247,49250,49251,49255,49268,49279,49282,49286,49298,49300,49304,49305,49309,49324,49326,49335,49339,49346,49348,49349,49360,49379,49380,49388,49389,49397,49399,49409,49410,49415,49419,49421,49423,49429,49446,49455,49458,49459,49464,49467,49470,49471,49484,49494,49499,49507,49513,49520,49523,49532,49544,49573,49576,49587,49597,49609,49612,49618,49625,49628,49636,49642,49656,49660,49662,49663,49670,49711,49714,49718,49719,49721,49740,49744,49748,49751,49757,49761,49763,49766,49774,49775,49777,49803,49829,49831,49832,49838,49845,49853,49862,49863,49870,49872,49875,49893,49898,49903,49905,49909,49911,49912,49919,49930,49933,49934,49940,49943,49952,49959,49967,49973,49998,50008,50023,50025,50038,50045,50051,50059,50061,50063,50067,50069,50075,50077,50080,50091"
141,0x453244FA1DECB89D58B2B0E3C3F86D9FF75E5127,"49002,49016,49019,49021,49023,49038,49044,49053,49057,49069,49075,49090,49107,49114,49123,49125,49135,49143,49156,49162,49170,49172,49183,49185,49191,49203,49207,49209,49230,49244,49256,49257,49259,49269,49279,49283,49284,49289,49293,49296,49299,49305,49309,49332,49344,49359,49381,49391,49399,49404,49413,49417,49429,49432,49436,49446,49450,49451,49455,49465,49469,49470,49471,49491,49496,49500,49505,49514,49516,49517,49527,49532,49543,49548,49550,49551,49552,49576,49580,49589,49595,49627,49635,49645,49648,49662,49673,49677,49687,49700,49718,49719,49722,49728,49748,49750,49760,49766,49797,49809,49813,49815,49816,49825,49829,49843,49847,49860,49864,49877,49881,49894,49898,49903,49908,49909,49929,49933,49936,49940,49956,49958,49959,49971,49972,49973,49990,50001,50002,50004,50008,50016,50025,50029,50041,50054,50059,50062,50067,50070,50080"
106,0xF2F6A9ED6814244A6847F10262D45A2CE4F24874,"49002,49021,49038,49057,49059,49069,49074,49090,49100,49101,49108,49114,49135,49137,49143,49150,49156,49191,49194,49195,49203,49230,49231,49238,49241,49244,49257,49259,49269,49279,49281,49283,49284,49299,49309,49335,49359,49391,49396,49399,49413,49418,49436,49439,49446,49451,49455,49469,49471,49491,49501,49516,49521,49532,49536,49543,49548,49552,49567,49574,49576,49580,49589,49617,49620,49626,49645,49648,49657,49665,49677,49700,49718,49748,49754,49760,49765,49778,49784,49796,49797,49815,49816,49825,49828,49843,49847,49883,49889,49894,49903,49912,49929,49936,49943,49959,49971,49972,49984,50001,50004,50008,50016,50041,50054,50067"
90,0x8FA71FC35359762260D4513C2C11ACCAEA0F2329,"49038,49039,49058,49059,49071,49075,49105,49107,49124,49135,49139,49141,49162,49185,49191,49203,49223,49267,49275,49298,49303,49309,49310,49324,49325,49331,49346,49349,49367,49372,49375,49381,49387,49389,49391,49418,49421,49430,49439,49455,49458,49462,49470,49484,49491,49501,49516,49517,49520,49523,49527,49536,49576,49580,49587,49597,49609,49632,49636,49637,49658,49665,49671,49686,49718,49723,49743,49754,49774,49784,49796,49803,49814,49818,49824,49831,49832,49837,49853,49864,49872,49880,49908,49909,49930,49998,50043,50054,50069,50076"
83,0x44609B995BDBD5B5BFD3491F0747AEB9A3901F71,"49002,49003,49034,49049,49057,49059,49066,49069,49075,49092,49100,49114,49122,49135,49137,49139,49150,49172,49203,49210,49223,49241,49256,49264,49275,49284,49296,49346,49351,49363,49381,49387,49391,49409,49413,49427,49432,49433,49436,49445,49455,49477,49508,49514,49536,49552,49561,49567,49574,49617,49632,49633,49657,49673,49677,49710,49714,49728,49748,49754,49783,49790,49792,49797,49809,49812,49828,49831,49843,49865,49883,49908,49919,49930,49958,49971,49972,49990,50001,50002,50009,50043,50077"
77,0x3C162D849665EBB8CCC85977A55A2733F75C8BEF,"49043,49046,49071,49084,49093,49097,49116,49131,49141,49174,49186,49189,49194,49224,49254,49301,49303,49304,49316,49325,49326,49330,49335,49339,49349,49351,49360,49363,49382,49388,49393,49397,49415,49419,49441,49464,49479,49503,49507,49513,49520,49573,49590,49597,49606,49612,49621,49628,49633,49642,49656,49686,49711,49744,49751,49761,49774,49800,49831,49845,49862,49870,49879,49905,49919,49922,49923,49952,49968,50017,50023,50030,50045,50063,50075,50077,50091"
72,0x193209A767F8621079560C2C3195FA98604DBAA4,"49003,49057,49075,49100,49101,49107,49125,49156,49162,49172,49185,49191,49204,49210,49264,49269,49281,49296,49363,49375,49399,49413,49427,49429,49430,49436,49439,49455,49470,49471,49491,49501,49505,49532,49536,49543,49552,49574,49579,49615,49621,49648,49711,49714,49719,49723,49754,49755,49778,49784,49796,49809,49829,49847,49864,49865,49881,49898,49908,49909,49929,49936,49940,49958,49972,49974,49984,49990,50008,50025,50043,50068"
62,0xA0CDB358F6898D6CF98D5D09F005CBD70CB8DEEB,"49019,49033,49058,49060,49084,49123,49124,49131,49186,49204,49222,49247,49254,49267,49268,49285,49294,49298,49341,49351,49360,49380,49382,49414,49415,49421,49481,49507,49511,49544,49583,49597,49618,49636,49643,49656,49673,49681,49721,49761,49781,49803,49817,49831,49837,49838,49846,49857,49863,49889,49904,49922,49930,49937,49968,50017,50023,50029,50051,50061,50062,50091"
59,0x337CD258C1D051A5D67329763EDAE0872EC3C57A,"49049,49053,49075,49084,49093,49097,49123,49135,49170,49172,49185,49186,49203,49204,49207,49219,49254,49257,49281,49293,49301,49303,49319,49325,49330,49349,49351,49393,49415,49419,49464,49491,49503,49513,49514,49521,49543,49573,49597,49633,49643,49656,49673,49721,49748,49761,49809,49821,49846,49847,49860,49862,49883,50009,50017,50045,50061,50075,50091"
